track_id,isrc,title,artist_id,supplier_id,is_spatial_ready,ddex_version,license_expiry
fc32ee99-92a0-402c,US-MT1-26-00000,Track_Alpha_0,ART_2970,SUPP_0393,False,ERN 3.8,2028-04-09 00:24:59.647299
4686f60c-339d-4e8d,US-MT1-26-00001,Track_Alpha_1,ART_1197,SUPP_0080,False,ERN 4.3,2027-05-05 00:24:59.647338
3a39b158-112d-4980,US-MT1-26-00002,Track_Alpha_2,ART_2669,SUPP_0285,True,ERN 3.8,2026-07-18 00:24:59.647350
740ef167-d83d-4dc8,US-MT1-26-00003,Track_Alpha_3,ART_3626,SUPP_0418,False,ERN 4.3,2027-07-18 00:24:59.647360
1560754c-e30a-4512,US-MT1-26-00004,Track_Alpha_4,ART_3438,SUPP_0369,False,ERN 3.8,2028-04-30 00:24:59.647368
d3116ae9-dfb6-482b,US-MT1-26-00005,Track_Alpha_5,ART_2202,SUPP_0018,False,ERN 4.3,2028-08-06 00:24:59.647376
4e7d47bd-d2bc-46b3,US-MT1-26-00006,Track_Alpha_6,ART_3601,SUPP_0109,False,ERN 4.3,2026-04-29 00:24:59.647384
a6e42fe8-56c6-49ee,US-MT1-26-00007,Track_Alpha_7,ART_2471,SUPP_0436,False,ERN 4.3,2028-02-26 00:24:59.647393
f8acb857-f001-4206,US-MT1-26-00008,Track_Alpha_8,ART_4571,SUPP_0033,True,ERN 4.3,2026-09-26 00:24:59.647401
3c84e45d-3513-4fb8,US-MT1-26-00009,Track_Alpha_9,ART_4086,SUPP_0287,False,ERN 4.2,2028-08-26 00:24:59.647410
ef6fb540-8592-43a0,US-MT1-26-00010,Track_Alpha_10,ART_2646,SUPP_0331,False,ERN 3.8,2026-03-16 00:24:59.647417
329866f7-98de-4385,US-MT1-26-00011,Track_Alpha_11,ART_2692,SUPP_0490,False,ERN 3.8,2028-03-05 00:24:59.647425
85eb8c31-7a91-4adb,US-MT1-26-00012,Track_Alpha_12,ART_2312,SUPP_0254,False,ERN 4.2,2026-05-04 00:24:59.647434
9d6638b3-9db4-46ad,US-MT1-26-00013,Track_Alpha_13,ART_3035,SUPP_0125,False,ERN 4.3,2028-02-03 00:24:59.647442
97388be3-b638-4285,US-MT1-26-00014,Track_Alpha_14,ART_1477,SUPP_0208,False,ERN 4.3,2026-08-13 00:24:59.647450
bc6a6471-d196-4d0a,US-MT1-26-00015,Track_Alpha_15,ART_2254,SUPP_0133,True,ERN 3.8,2028-02-29 00:24:59.647458
3feb9398-e31a-4b93,US-MT1-26-00016,Track_Alpha_16,ART_1922,SUPP_0498,False,ERN 3.8,2027-06-26 00:24:59.647465
f5cd34de-cb59-45ca,US-MT1-26-00017,Track_Alpha_17,ART_1419,SUPP_0396,True,ERN 3.8,2027-04-14 00:24:59.647473
c9a0ab52-4acb-4643,US-MT1-26-00018,Track_Alpha_18,ART_3204,SUPP_0486,False,ERN 4.2,2027-12-02 00:24:59.647481
b357d0ee-ec2f-4988,US-MT1-26-00019,Track_Alpha_19,ART_3597,SUPP_0085,True,ERN 3.8,2027-07-10 00:24:59.647489
18fd44af-8e99-43d5,US-MT1-26-00020,Track_Alpha_20,ART_4512,SUPP_0074,False,ERN 4.2,2027-03-05 00:24:59.647496
88b41d9b-1287-4ced,US-MT1-26-00021,Track_Alpha_21,ART_2120,SUPP_0447,False,ERN 4.2,2027-12-21 00:24:59.647504
ce102cde-9e09-45d0,US-MT1-26-00022,Track_Alpha_22,ART_4068,SUPP_0134,True,ERN 3.8,2027-07-20 00:24:59.647522
187b2905-5a4a-492d,US-MT1-26-00023,Track_Alpha_23,ART_4044,SUPP_0300,False,ERN 3.8,2028-12-29 00:24:59.647529
6c1fef08-d388-4575,US-MT1-26-00024,Track_Alpha_24,ART_4482,SUPP_0172,False,ERN 3.8,2028-09-01 00:24:59.647537
7d7a9b31-5a9e-41af,US-MT1-26-00025,Track_Alpha_25,ART_1950,SUPP_0212,False,ERN 4.3,2028-02-06 00:24:59.647545
28f31a65-30bc-4a5c,US-MT1-26-00026,Track_Alpha_26,ART_3336,SUPP_0320,False,ERN 4.3,2026-12-23 00:24:59.647553
decbad5b-ab8f-4ec1,US-MT1-26-00027,Track_Alpha_27,ART_2277,SUPP_0349,False,ERN 4.3,2028-02-09 00:24:59.647561
d178a154-aa93-4e40,US-MT1-26-00028,Track_Alpha_28,ART_3243,SUPP_0018,False,ERN 3.8,2027-02-27 00:24:59.647569
a7bd08b7-9d0d-4aec,US-MT1-26-00029,Track_Alpha_29,ART_3645,SUPP_0498,False,ERN 4.2,2027-05-27 00:24:59.647576
328731b7-d510-4240,US-MT1-26-00030,Track_Alpha_30,ART_2857,SUPP_0118,False,ERN 4.2,2027-11-20 00:24:59.647584
