supplier_id,supplier_name,trust_score,region
SUPP_0000,Label_Group_0,0.75,EMEA
SUPP_0001,Label_Group_1,0.98,APAC
SUPP_0002,Label_Group_2,0.89,US
SUPP_0003,Label_Group_3,0.84,US
SUPP_0004,Label_Group_4,0.66,US
SUPP_0005,Label_Group_5,0.66,US
SUPP_0006,Label_Group_6,0.62,LATAM
SUPP_0007,Label_Group_7,0.95,US
SUPP_0008,Label_Group_8,0.84,LATAM
SUPP_0009,Label_Group_9,0.88,LATAM
SUPP_0010,Label_Group_10,0.61,US
SUPP_0011,Label_Group_11,0.99,US
SUPP_0012,Label_Group_12,0.93,EMEA
SUPP_0013,Label_Group_13,0.68,APAC
SUPP_0014,Label_Group_14,0.67,US
SUPP_0015,Label_Group_15,0.67,EMEA
SUPP_0016,Label_Group_16,0.72,EMEA
SUPP_0017,Label_Group_17,0.81,APAC
SUPP_0018,Label_Group_18,0.77,LATAM
SUPP_0019,Label_Group_19,0.72,US
SUPP_0020,Label_Group_20,0.84,APAC
SUPP_0021,Label_Group_21,0.66,US
SUPP_0022,Label_Group_22,0.72,EMEA
SUPP_0023,Label_Group_23,0.75,EMEA
SUPP_0024,Label_Group_24,0.78,LATAM
SUPP_0025,Label_Group_25,0.91,EMEA
SUPP_0026,Label_Group_26,0.68,EMEA
SUPP_0027,Label_Group_27,0.81,APAC
SUPP_0028,Label_Group_28,0.84,US
SUPP_0029,Label_Group_29,0.62,US
SUPP_0030,Label_Group_30,0.84,APAC
SUPP_0031,Label_Group_31,0.67,LATAM
SUPP_0032,Label_Group_32,0.63,US
SUPP_0033,Label_Group_33,0.98,EMEA
SUPP_0034,Label_Group_34,0.99,US
SUPP_0035,Label_Group_35,0.92,EMEA
SUPP_0036,Label_Group_36,0.72,LATAM
SUPP_0037,Label_Group_37,0.64,APAC
SUPP_0038,Label_Group_38,0.87,US
SUPP_0039,Label_Group_39,0.78,APAC
SUPP_0040,Label_Group_40,0.65,US
SUPP_0041,Label_Group_41,0.8,EMEA
SUPP_0042,Label_Group_42,0.61,APAC
SUPP_0043,Label_Group_43,0.96,US
SUPP_0044,Label_Group_44,0.7,EMEA
SUPP_0045,Label_Group_45,0.87,APAC
SUPP_0046,Label_Group_46,0.72,APAC
SUPP_0047,Label_Group_47,0.81,US
SUPP_0048,Label_Group_48,0.82,US
SUPP_0049,Label_Group_49,0.67,US
SUPP_0050,Label_Group_50,0.99,EMEA
SUPP_0051,Label_Group_51,0.91,US
SUPP_0052,Label_Group_52,0.98,APAC
