ingestion_id,track_id,supplier_id,timestamp,status,latency_seconds,sla_breach_flag
INGEST_000000,89b70fa8-cf39-449e,SUPP_0473,2026-03-08 12:52:01.000997,FAIL,13.24,False
INGEST_000001,edcf2df6-2188-4cb5,SUPP_0099,2026-05-04 08:46:01.001066,SUCCESS,21.76,False
INGEST_000002,ca5e0bd0-6147-41cc,SUPP_0423,2026-03-27 20:11:01.001080,SUCCESS,14.21,False
INGEST_000003,ace23a84-3136-470a,SUPP_0192,2026-04-29 08:34:01.001090,SUCCESS,22.01,False
INGEST_000004,f53b6797-d83a-4193,SUPP_0094,2026-03-09 06:23:01.001098,SUCCESS,18.7,False
INGEST_000005,4205702f-0d6c-45ba,SUPP_0184,2026-03-30 10:21:01.001106,SUCCESS,19.34,False
INGEST_000006,02063221-24a6-4486,SUPP_0027,2026-03-27 03:39:01.001114,SUCCESS,8.0,False
INGEST_000007,1f9e0c84-e925-4021,SUPP_0428,2026-03-08 18:31:01.001122,SUCCESS,1.9,False
INGEST_000008,a3208643-abb9-4387,SUPP_0156,2026-03-09 08:41:01.001131,SUCCESS,40.9,True
INGEST_000009,eacb15d0-a617-4ce6,SUPP_0057,2026-04-09 03:00:01.001139,SUCCESS,13.27,False
INGEST_000010,41510b5e-3ceb-4d26,SUPP_0094,2026-03-19 02:01:01.001148,SUCCESS,23.8,False
INGEST_000011,4b751b19-ecb0-40bf,SUPP_0153,2026-03-02 20:38:01.001156,SUCCESS,20.63,False
INGEST_000012,57ad1985-fb65-494a,SUPP_0275,2026-05-01 19:22:01.001166,SUCCESS,7.15,False
INGEST_000013,78db7e36-0c8a-4b08,SUPP_0173,2026-03-20 22:43:01.001175,SUCCESS,15.98,False
INGEST_000014,44ee9c96-3fb4-4637,SUPP_0227,2026-04-28 20:32:01.001183,SUCCESS,7.37,False
INGEST_000015,261c48cf-1a0d-4b9a,SUPP_0071,2026-04-30 07:57:01.001191,SUCCESS,61.93,True
INGEST_000016,de6575e3-5f23-4d61,SUPP_0383,2026-03-29 07:37:01.001199,SUCCESS,14.99,False
INGEST_000017,11ab3810-463f-4c42,SUPP_0096,2026-05-07 13:51:01.001208,FAIL,23.5,False
INGEST_000018,1c33a310-d02d-4b55,SUPP_0193,2026-04-01 04:02:01.001216,SUCCESS,11.68,False
INGEST_000019,0fd2cf94-20bc-40d3,SUPP_0244,2026-05-02 19:59:01.001224,SUCCESS,15.89,False
INGEST_000020,544fd958-ca0a-42c4,SUPP_0467,2026-04-07 11:51:01.001232,SUCCESS,21.93,False
INGEST_000021,3f05b3f0-fa43-4906,SUPP_0382,2026-04-29 14:52:01.001240,SUCCESS,13.57,False
INGEST_000022,ed50d886-764a-46f4,SUPP_0184,2026-04-14 00:47:01.001248,SUCCESS,10.96,False
INGEST_000023,9182220e-170f-484b,SUPP_0067,2026-03-04 03:30:01.001256,SUCCESS,28.32,False
INGEST_000024,7afd58e7-5567-46f6,SUPP_0140,2026-04-04 22:29:01.001264,SUCCESS,31.62,True
INGEST_000025,3b870a47-77eb-4bb4,SUPP_0452,2026-03-05 04:15:01.001273,SUCCESS,17.28,False
INGEST_000026,1189f8f2-ccf9-4dbc,SUPP_0187,2026-04-11 12:25:01.001281,SUCCESS,7.66,False
INGEST_000027,91b44605-9753-4f6e,SUPP_0470,2026-05-05 01:23:01.001289,SUCCESS,21.68,False
INGEST_000028,4ea9c2d3-824b-4f4b,SUPP_0341,2026-04-23 17:23:01.001297,SUCCESS,18.05,False
